key,OE School System Code,System Name,System Street Address,System City,System County,System State,System Zip Code,Chief Administrative Officer,Number of School Campus Forms,System Pupils: American Indian,System Pupils: Black,System Pupils: Asian American,System Pupils: Spanish Surname,System Pupils: Other,System Pupils: Total,Resident Pupils in another System,Resident Pupils in nonpublic schools,Resident School Age not in School,System Teachers: American Indian,System Teachers: Black,System Teachers: Asian,System Teachers: Spanish Surname,System Teachers: Other,System Teachers: Total,Professional Staff: American Indian,Professional Staff: Black,Professional Staff: Asian,Professional Staff: Spanish Surname,Professional Staff: Other,Professional Staff: Total,Professionals in more than one school: American Indian,Professionals in more than one school: Black,Professionals in more than one school: Asian,Professionals in more than one school: Spanish Surname,Professionals in more than one school: Other,Professionals in more than one school: Total,Year,State Code,SRG Code,Assurance,Litigation Code,Sampling Weight ,School Age not in School: American Indian,School Age not in School: Black,School Age not in School: Asian American,School Age not in School: Spanish Surname,School Age not in School: Other,Non-Resident Pupils: American Indian,Non-Resident Pupils: Black,Non-Resident Pupils: Asian American,Non-Resident Pupils: Spanish Surname,Non-Resident Pupils: Other,Resident Pupils: American Indian,Resident Pupils: Black,Resident Pupils: Asian American,Resident Pupils: Spanish Surname,Resident Pupils: Other,1970 OE code,
1,1000240,AUTAUGA COUNTY BOARD OF EDUCATIO,,Prattville,Autauga,Alabama,36067,JOHN R. HAIGIS,10,0,2378,0,0,4377,0,0,0,0,0,0,0,0,0,0,0,103,0,0,176,0,0,0,0,0,0,0,1,1,4294967297,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,1000270,BALDWIN     TY,,Bay Minette,Baldwin,Alabama,3650,W. C. MCGOWAN,27,0,3868,0,0,10775,0,0,0,0,0,0,0,0,0,0,0,162,0,0,406,0,0,0,0,0,0,0,0,0,8589934592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,1000300,BARBOUR,,Clayton,Barbour,Alabama,36016,RAYMOND R. FAUGHT,9,0,2395,0,0,972,0,0,0,0,0,0,0,0,0,0,0,90,0,2,64,0,0,0,0,0,0,0,0,0,12884901888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,1001410,EUFAULA CITY SCHOOL SYSTEM,,Eufaula,Barbour,Alabama,36027,O. B. CARTER,5,0,984,0,0,1388,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,1000360,BIBB COUNTY,,Centreville,Bibb,Alabama,35042,W. R. MCKINZEY,13,0,1265,0,0,2311,0,0,0,0,0,0,0,0,0,0,0,57,0,0,103,0,0,0,0,0,0,0,0,0,17179869185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,1000420,BLOUNT COUNTY BOARD OF EDUCATION,,Oneonta,Blount,Alabama,35121,CLYDE BLACKWOOD,16,0,66,0,0,5013,0,0,0,0,0,0,0,0,0,0,0,5,0,0,188,0,0,0,0,0,0,0,0,0,21474836480,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,1002550,ONEONTA CITY SCHOOLS,110 HIGH SCHOOL STREET PO BOX 16,Oneonta,Blount,Alabama,,HUBERT L. STREET,2,0,155,0,0,883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,2.37684487542793E+029,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,1000480,BULLOCK COUNTY SCHOOL SYSTEM,,Union Springs,Bullock,Alabama,36089,,6,1,2775,0,0,809,0,0,0,0,0,0,0,0,0,0,1,112,0,0,53,0,0,0,0,0,0,0,0,0,25769803777,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,1000510,BUTLER COUNTY,,Greenville,Butler,Alabama,36037,GENE STROVD,9,0,2935,0,0,2889,0,0,0,0,0,0,0,0,0,0,0,131,0,0,134,0,0,0,0,0,0,0,0,0,30064771072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,1000090,ANNISTON CITY SCHOOLS,P. O. BOX 1500,Anniston,Calhoun,Alabama,36201,GEORGE L. LAYTON,16,0,3291,0,0,4099,0,0,0,0,0,0,0,0,0,0,0,138,0,0,193,0,0,1,0,0,2,0,0,0,34359738370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
