key,OE School System Code,System Name,System Street Address,System City,System County,System State,System Zip Code,Chief Administrative Officer,Number of School Campus Forms,System Pupils: American Indian,System Pupils: Black,System Pupils: Asian American,System Pupils: Spanish Surname,System Pupils: Other,System Pupils: Total,Nonresident Pupils,Resident Pupils,Resident Pupils in another System,Resident Pupils in nonpublic schools,Resident School Age not in School,System Teachers: American Indian,System Teachers: Black,System Teachers: Asian,System Teachers: Spanish Surname,System Teachers: Other,System Teachers: Total,Professional Staff: American Indian,Professional Staff: Black,Professional Staff: Asian,Professional Staff: Spanish Surname,Professional Staff: Other,Professional Staff: Total,Professionals in more than one school: American Indian,Professionals in more than one school: Black,Professionals in more than one school: Asian,Professionals in more than one school: Spanish Surname,Professionals in more than one school: Other,Professionals in more than one school: Total,Year,State Code,SRG Code,Assurance,Litigation Code,Sampling Weight ,Pupils in Another System: American Indian,Pupils in Another System: Black,Pupils in Another System: Asian American,Pupils in Another System: Spanish Surname,Pupils in Another System: Other,Pupils in Non-Public Schools: American Indian,Pupils in Non-Public Schools: Black,Pupils in Non-Public Schools: Asian American,Pupils in Non-Public Schools: Spanish Surname,Pupils in Non-Public Schools: Other,School Age not in School: American Indian,School Age not in School: Black,School Age not in School: Asian American,School Age not in School: Spanish Surname,School Age not in School: Other,Non-Resident Pupils: American Indian,Non-Resident Pupils: Black,Non-Resident Pupils: Asian American,Non-Resident Pupils: Spanish Surname,Non-Resident Pupils: Other,Resident Pupils: American Indian,Resident Pupils: Black,Resident Pupils: Asian American,Resident Pupils: Spanish Surname,Resident Pupils: Other,1970 OE code
1,1000030,ALEXANDER CY,,ALEXANDER,Tallapoosa,Alabama,35010.0,S C DOSS JR,5,0,1221,0,0,2705,0,0,0,0,0,0,0,49,0,0,122,0,0,100,0,0,134,0,0,0,0,0,0,0,3,1,266287972354,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000030
2,1000060,ANDALUSIA CY,,Andalusia,Covington,Alabama,3642.0,,4,0,590,0,0,1923,0,0,0,0,0,0,0,19,0,0,107,0,0,41,0,0,132,0,0,0,0,0,0,0,0,0,85899345921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000060
3,1000090,ANNISTON CITY,,Anniston,Calhoun,Alabama,36201.0,GEORGE L LYTON,15,0,3276,0,0,3551,0,0,0,0,0,0,0,119,0,0,165,0,0,148,0,0,208,0,0,0,0,0,0,0,0,0,34359738370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000090
4,1000120,ATHENS CITY,313 EAST WASHINGTON ST,Athens,Limestone,Alabama,3561.0,H WILLIAM MITCHELL,5,0,793,0,0,2499,0,0,0,200,360,50,0,18,0,0,106,0,0,22,0,0,125,0,0,1,0,0,2,0,0,0,180388626433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000120
5,1000180,ATTALLA CY,,Attalla,Etowah,Alabama,35954.0,,4,0,360,0,0,1595,0,0,0,0,0,0,0,22,0,0,64,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,120259084288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000180
6,1000210,AUBURN CY,,Auburn,Lee,Alabama,36830.0,WAYNE TEAGUE,7,0,1135,0,0,2242,0,0,0,0,0,0,0,31,0,0,118,0,0,76,0,0,182,0,0,0,0,0,3,0,0,0,176093659837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000210
7,1000240,AUTAUGA COUNTY,,Prattville,Autauga,Alabama,36067.0,,9,0,2395,0,0,4508,0,0,0,0,0,0,0,88,0,0,202,0,0,88,0,0,202,0,0,0,0,0,0,0,0,0,4294967297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000240
8,1000270,BALDWIN,,Bay Minette,Baldwin,Alabama,3650.0,W C MCGOWAN,18,0,3704,0,0,10719,0,0,0,0,0,0,0,142,0,0,437,0,0,183,0,0,600,0,0,0,0,0,0,0,0,0,8589934592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000270
9,1000300,BARBOUR,P O BOX 186,Clayton,Barbour,Alabama,36016.0,RAYMOND E FAUGHT,5,0,2358,0,0,795,0,0,0,70,434,26,0,78,0,5,72,0,0,81,0,5,76,0,0,0,0,0,0,0,0,0,12884901888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000300
10,1000330,BESSEMER CITY,,Bessemer,Jefferson,Alabama,35020.0,,12,0,4949,0,0,2532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158913789952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000330
