key,OE School System Code,System Name,System Street Address,System City,System County,System State,System Zip Code,Chief Administrative Officer,Number of School Campus Forms,System Pupils: American Indian,System Pupils: Black,System Pupils: Asian American,System Pupils: Spanish Surname,System Pupils: Other,System Pupils: Total,Nonresident Pupils,Resident Pupils,Expelled: American Indian,Expelled: Black,Expelled: Asian,Expelled: Spanish Surname,Expelled: Other,Expelled: Total,Resident Pupils in another System,Resident Pupils in nonpublic schools,Resident School Age not in School,System Teachers: American Indian,System Teachers: Black,System Teachers: Asian,System Teachers: Spanish Surname,System Teachers: Other,System Teachers: Total,Professional Staff: American Indian,Professional Staff: Black,Professional Staff: Asian,Professional Staff: Spanish Surname,Professional Staff: Other,Professional Staff: Total,Professionals in more than one school: American Indian,Professionals in more than one school: Black,Professionals in more than one school: Asian,Professionals in more than one school: Spanish Surname,Professionals in more than one school: Other,Professionals in more than one school: Total,Bilingual Instruction,Bilingual Teachers,Bilingual Pupils,Bilingual Material,New School Property,New School Construction,New School Capacity,New School (Greater Minority) Composition,Year,State Code,Assurance,Litigation Code,Selection Code,Sampling Weight ,Pupils in Another System: American Indian,Pupils in Another System: Black,Pupils in Another System: Asian American,Pupils in Another System: Spanish Surname,Pupils in Another System: Other,Pupils in Non-Public Schools: American Indian,Pupils in Non-Public Schools: Black,Pupils in Non-Public Schools: Asian American,Pupils in Non-Public Schools: Spanish Surname,Pupils in Non-Public Schools: Other,School Age not in School: American Indian,School Age not in School: Black,School Age not in School: Asian American,School Age not in School: Spanish Surname,School Age not in School: Other
1,1000030,ALEXANDER CITY                ,310 WILSON STREET             ,ALEXANDER CITY,Tallapoosa,Alabama,35010,S C DOSS JR,5,0,1191,0,0,2550,0,255,3486,0,0,0,0,0,0,8,10,13,0,44,0,0,105,0,0,47,0,0,118,0,0,0,0,0,2,0,2,0,0,2,1,2,2,2,5,1,3,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1000060,ANDALUSIA CITY SCHOOLS,122 6TH AVENUE,Andalusia,Covington,Alabama,3642,OSCAR M ZEANAH,4,0,586,0,0,1833,0,87,2332,0,0,0,0,0,0,51,50,37,0,20,0,0,96,0,0,23,0,0,104,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1000090,ANNISTON CITY SCHOOLS,1425 WOODSTOCK AVENUE,Anniston,Calhoun,Alabama,36201,DR JOHN L FULMER,14,0,3219,5,1,3074,0,61,6238,0,0,0,0,0,0,125,650,300,0,109,0,0,155,0,0,119,0,0,167,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1000100,ARAB CITY,GUNTERSVILLE RD PO DRAWER O,Arab,Marshall,Alabama,35016,B B NELSON JR,4,0,0,0,0,2556,0,90,2466,0,0,0,0,0,0,25,10,50,0,0,0,0,93,0,0,0,0,0,98,0,0,0,0,0,6,0,0,0,0,0,0,0,1,1,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1000120,ATHENS CITY,313 EAST WASHINGTON STREET,Athens,Limestone,Alabama,35611,R DALE WEIZENECKER,5,0,617,0,0,2396,0,189,2824,0,0,0,0,0,0,150,255,10,0,18,0,0,119,0,0,20,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1000180,ATTALLA CITY,810 N 4TH ST,Attalla,Etowah,Alabama,35954,BILLY J RAINS,4,0,344,0,0,1585,0,1,1928,0,0,0,0,3,0,0,12,0,0,19,0,0,66,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1000210,AUBURN CITY,418 DUMAS DRIVE,Auburn,Lee,Alabama,36830,DR WAYNE TEAGUE,7,0,1163,4,5,1992,0,26,3138,0,0,0,0,0,0,0,75,0,0,23,0,0,102,0,0,23,0,0,115,0,0,0,0,0,13,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1000240,AUTAUGA COUNTY,PO BOX 130,Prattville,Autauga,Alabama,36067,JOHN R HARGIS,9,0,2311,0,8,4828,0,0,7151,0,0,0,0,0,0,0,335,0,0,88,1,0,199,0,0,92,1,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1000270,BALDWIN,B,Bay Minette,Baldwin,Alabama,3650,W CANDLER MCGOWAN,19,9,3235,5,48,10660,0,0,13954,0,10,0,0,11,0,0,1201,850,0,132,0,0,424,0,0,138,0,0,443,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1000300,BARBOUR,PO BOX 186,Clayton,Barbour,Alabama,36016,WILLIAM A EDSON,6,0,2288,0,0,750,0,0,3038,0,0,0,0,0,0,100,565,500,0,83,0,0,62,0,0,85,0,0,65,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
